index,Country,Year,dataset,Age,variable,Single.Person_EDHIW,Head.or.Spouse_EDHIW,children,other,EDHIW
1,au,2001,au2001,14 Under,EDHIW,,,,17858,17858
2,au,2001,au2001,15 to 19 years,EDHIW,,19397,23879,19397,23510
3,au,2001,au2001,20 to 29 years,EDHIW,22081,25131,29176,30654,26955
4,au,2001,au2001,30 to 39 years,EDHIW,24167,21220,24552,28695,21866
5,au,2001,au2001,40 to 49 years,EDHIW,22671,24799,25209,30995,24751
6,au,2001,au2001,50 to 59 years,EDHIW,14464,25777,,19021,24142
7,au,2001,au2001,60 to 69 years,EDHIW,10474,15806,,19084,15026
8,au,2001,au2001,70 to 79 years,EDHIW,10156,13818,,20268,12605
9,au,2001,au2001,80 years and over,EDHIW,,,,,
11,au,2003,au2003,14 Under,EDHIW,,,,18274,18274
12,au,2003,au2003,15 to 19 years,EDHIW,,18263,24111,21071,23451
13,au,2003,au2003,20 to 29 years,EDHIW,21502,24260,30846,28884,27005
14,au,2003,au2003,30 to 39 years,EDHIW,24029,21780,25348,31650,22553
15,au,2003,au2003,40 to 49 years,EDHIW,22487,24822,22110,27864,24631
16,au,2003,au2003,50 to 59 years,EDHIW,16533,27198,20959,21652,25785
17,au,2003,au2003,60 to 69 years,EDHIW,11094,16870,,21588,15598
18,au,2003,au2003,70 to 79 years,EDHIW,10451,14084,,21267,12893
19,au,2003,au2003,80 years and over,EDHIW,,,,,
21,au,2008,au2008,14 Under,EDHIW,,,25016,28313,25020
22,au,2008,au2008,15 to 19 years,EDHIW,,29961,30785,28998,30295
23,au,2008,au2008,20 to 29 years,EDHIW,27133,34790,37799,40147,36038
24,au,2008,au2008,30 to 39 years,EDHIW,31977,30739,31431,39263,30916
25,au,2008,au2008,40 to 49 years,EDHIW,27554,33016,30035,30184,32192
26,au,2008,au2008,50 to 59 years,EDHIW,24695,34861,21293,32891,33038
27,au,2008,au2008,60 to 69 years,EDHIW,14824,23269,,26246,22201
28,au,2008,au2008,70 to 79 years,EDHIW,12226,17744,,28550,16175
29,au,2008,au2008,80 years and over,EDHIW,11819,16855,,34206,15483
31,au,2010,au2010,14 Under,EDHIW,,,24858,28050,24973
32,au,2010,au2010,15 to 19 years,EDHIW,,25683,30373,28813,30069
33,au,2010,au2010,20 to 29 years,EDHIW,28082,34808,39099,40801,36735
34,au,2010,au2010,30 to 39 years,EDHIW,34739,30542,30983,40234,31525
35,au,2010,au2010,40 to 49 years,EDHIW,26306,31969,26053,30954,31041
36,au,2010,au2010,50 to 59 years,EDHIW,23107,35440,26879,25462,33099
37,au,2010,au2010,60 to 69 years,EDHIW,14865,24753,23526,25683,22650
38,au,2010,au2010,70 to 79 years,EDHIW,13700,16920,,24956,16321
39,au,2010,au2010,80 years and over,EDHIW,12782,17495,,27742,15607
41,au,1985,au1985,14 Under,EDHIW,,,,17508,17508
42,au,1985,au1985,15 to 19 years,EDHIW,12339,17571,23845,21496,23227
43,au,1985,au1985,20 to 29 years,EDHIW,22190,21027,31296,31761,24416
44,au,1985,au1985,30 to 39 years,EDHIW,28045,20244,25202,30737,20922
45,au,1985,au1985,40 to 49 years,EDHIW,25126,23849,16805,,23907
46,au,1985,au1985,50 to 59 years,EDHIW,18326,25131,,24001,24580
47,au,1985,au1985,60 to 69 years,EDHIW,9752,15316,,18741,14219
48,au,1985,au1985,70 to 79 years,EDHIW,9453,12595,,23623,11725
49,au,1985,au1985,80 years and over,EDHIW,,,,,
51,au,1989,au1989,14 Under,EDHIW,,,,17296,17296
52,au,1989,au1989,15 to 19 years,EDHIW,12621,17816,23051,21089,22184
53,au,1989,au1989,20 to 29 years,EDHIW,22545,23420,31378,29891,26153
54,au,1989,au1989,30 to 39 years,EDHIW,26360,20029,26917,31789,20863
55,au,1989,au1989,40 to 49 years,EDHIW,24081,24521,21840,23206,24357
56,au,1989,au1989,50 to 59 years,EDHIW,16981,25455,18131,19525,24161
57,au,1989,au1989,60 to 69 years,EDHIW,10174,16499,,16881,14863
58,au,1989,au1989,70 to 79 years,EDHIW,9725,13204,,20239,12102
59,au,1989,au1989,80 years and over,EDHIW,,,,,
61,au,1995,au1995,14 Under,EDHIW,,,,15922,15922
62,au,1995,au1995,15 to 19 years,EDHIW,,11962,21289,19024,20716
63,au,1995,au1995,20 to 29 years,EDHIW,18530,21787,28472,29461,24973
64,au,1995,au1995,30 to 39 years,EDHIW,21289,18348,20979,28038,19181
65,au,1995,au1995,40 to 49 years,EDHIW,20404,22689,20705,26205,22652
66,au,1995,au1995,50 to 59 years,EDHIW,12856,22869,,26307,22010
67,au,1995,au1995,60 to 69 years,EDHIW,9161,13949,,19467,13103
68,au,1995,au1995,70 to 79 years,EDHIW,9057,12622,,18331,11483
69,au,1995,au1995,80 years and over,EDHIW,,,,,
71,ca,2000,ca2000,14 Under,EDHIW,,,21516,24452,21637
72,ca,2000,ca2000,15 to 19 years,EDHIW,5086,14189,25919,21101,25030
73,ca,2000,ca2000,20 to 29 years,EDHIW,17491,22028,33458,26196,25373
74,ca,2000,ca2000,30 to 39 years,EDHIW,22484,25107,25956,32972,25264
75,ca,2000,ca2000,40 to 49 years,EDHIW,20675,28181,19733,26179,27345
76,ca,2000,ca2000,50 to 59 years,EDHIW,16186,31281,15978,26592,29135
77,ca,2000,ca2000,60 to 69 years,EDHIW,15232,24190,,27753,23307
78,ca,2000,ca2000,70 to 79 years,EDHIW,16425,22302,,31538,21541
79,ca,2000,ca2000,80 years and over,EDHIW,15623,20822,,28899,18955
81,ca,2004,ca2004,14 Under,EDHIW,,,22918,25642,22954
82,ca,2004,ca2004,15 to 19 years,EDHIW,6907,14573,27662,19510,25702
83,ca,2004,ca2004,20 to 29 years,EDHIW,17388,24194,34332,26869,26783
84,ca,2004,ca2004,30 to 39 years,EDHIW,24393,26900,29566,34113,27068
85,ca,2004,ca2004,40 to 49 years,EDHIW,21122,30140,20762,28240,29068
86,ca,2004,ca2004,50 to 59 years,EDHIW,17125,32572,19309,28380,30397
87,ca,2004,ca2004,60 to 69 years,EDHIW,16675,26979,,27054,25489
88,ca,2004,ca2004,70 to 79 years,EDHIW,17883,24042,,34092,23588
89,ca,2004,ca2004,80 years and over,EDHIW,16844,22690,,29714,20812
91,ca,2007,ca2007,14 Under,EDHIW,,,25118,28346,25159
92,ca,2007,ca2007,15 to 19 years,EDHIW,5867,18266,29352,25358,28502
93,ca,2007,ca2007,20 to 29 years,EDHIW,18852,25107,36064,26848,28125
94,ca,2007,ca2007,30 to 39 years,EDHIW,29066,29067,34540,36499,29510
95,ca,2007,ca2007,40 to 49 years,EDHIW,22246,31541,23813,29331,30556
96,ca,2007,ca2007,50 to 59 years,EDHIW,21438,36471,23379,29165,33476
97,ca,2007,ca2007,60 to 69 years,EDHIW,18057,30091,,31248,28019
98,ca,2007,ca2007,70 to 79 years,EDHIW,18894,26296,,32691,25358
