Country,Year,Survey,Age,Single.Person_EDHIW,Head.or.Spouse_EDHIW
France,1978,FR1978,70 to 74 years,9856,14806
France,1978,FR1978,75 to 79 years,10351,15046
France,1978,FR1978,80 years and over,9341,13443
France,1984,FR1984,14 and Under,0,0
France,1984,FR1984,15 to 19 years,0,13417
France,1984,FR1984,20 to 24 years,16863,18389
France,1984,FR1984,25 to 29 years,19143,19217
France,1984,FR1984,30 to 34 years,21277,19005
France,1984,FR1984,35 to 39 years,23422,19666
France,1984,FR1984,40 to 44 years,21025,21025
France,1984,FR1984,45 to 49 years,19766,20511
France,1984,FR1984,50 to 54 years,17096,19974
France,1984,FR1984,55 to 59 years,14185,17782
France,1984,FR1984,60 to 64 years,14967,16910
France,1984,FR1984,65 to 69 years,14194,16540
France,1984,FR1984,70 to 74 years,12854,15120
France,1984,FR1984,75 to 79 years,11568,13945
France,1984,FR1984,80 years and over,11397,15279
France,1989,FR1989,14 and Under,0,0
France,1989,FR1989,15 to 19 years,0,0
France,1989,FR1989,20 to 24 years,16233,19054
France,1989,FR1989,25 to 29 years,19023,20127
France,1989,FR1989,30 to 34 years,20287,19094
France,1989,FR1989,35 to 39 years,21166,20151
France,1989,FR1989,40 to 44 years,20614,21819
France,1989,FR1989,45 to 49 years,21315,22615
France,1989,FR1989,50 to 54 years,17955,21905
France,1989,FR1989,55 to 59 years,17099,18754
France,1989,FR1989,60 to 64 years,13871,19308
France,1989,FR1989,65 to 69 years,14899,17962
France,1989,FR1989,70 to 74 years,13820,17140
France,1989,FR1989,75 to 79 years,12552,16498
France,1989,FR1989,80 years and over,11430,16168
France,1994,FR1994,14 and Under,0,0
France,1994,FR1994,15 to 19 years,6858,0
France,1994,FR1994,20 to 24 years,11101,16276
France,1994,FR1994,25 to 29 years,17729,19959
France,1994,FR1994,30 to 34 years,21322,21045
France,1994,FR1994,35 to 39 years,22261,21558
France,1994,FR1994,40 to 44 years,19769,22530
France,1994,FR1994,45 to 49 years,22579,25597
France,1994,FR1994,50 to 54 years,20723,26163
France,1994,FR1994,55 to 59 years,17855,23184
France,1994,FR1994,60 to 64 years,17671,20572
France,1994,FR1994,65 to 69 years,16803,21237
France,1994,FR1994,70 to 74 years,15564,20885
France,1994,FR1994,75 to 79 years,15649,20975
France,1994,FR1994,80 years and over,15412,17992
Italy,2000,IT2000,14 and Under,0,0
Italy,2000,IT2000,15 to 19 years,0,0
Italy,2000,IT2000,20 to 24 years,0,14888
Italy,2000,IT2000,25 to 29 years,20155,18246
Italy,2000,IT2000,30 to 34 years,24274,17624
Italy,2000,IT2000,35 to 39 years,24175,17025
Italy,2000,IT2000,40 to 44 years,19924,18242
Italy,2000,IT2000,45 to 49 years,23109,21280
Italy,2000,IT2000,50 to 54 years,22327,22414
Italy,2000,IT2000,55 to 59 years,18695,22230
Italy,2000,IT2000,60 to 64 years,15576,20154
Italy,2000,IT2000,65 to 69 years,14505,18095
Italy,2000,IT2000,70 to 74 years,11397,15672
Italy,2000,IT2000,75 to 79 years,12433,15397
Italy,2000,IT2000,80 years and over,12433,14652
Italy,2004,IT2004,14 and Under,0,0
Italy,2004,IT2004,15 to 19 years,0,0
Italy,2004,IT2004,20 to 24 years,0,12834
Italy,2004,IT2004,25 to 29 years,19326,19744
Italy,2004,IT2004,30 to 34 years,22811,18080
Italy,2004,IT2004,35 to 39 years,25296,17528
Italy,2004,IT2004,40 to 44 years,25165,19768
Italy,2004,IT2004,45 to 49 years,21369,20395
Italy,2004,IT2004,50 to 54 years,20610,21994
Italy,2004,IT2004,55 to 59 years,21174,22931
Italy,2004,IT2004,60 to 64 years,19603,20681
Italy,2004,IT2004,65 to 69 years,16351,18699
Italy,2004,IT2004,70 to 74 years,13960,16790
Italy,2004,IT2004,75 to 79 years,12705,15582
Italy,2004,IT2004,80 years and over,12762,16067
Italy,2008,IT2008,14 and Under,0,0
Italy,2008,IT2008,15 to 19 years,0,0
Italy,2008,IT2008,20 to 24 years,0,11879
Italy,2008,IT2008,25 to 29 years,19110,14112
Italy,2008,IT2008,30 to 34 years,18418,18573
Italy,2008,IT2008,35 to 39 years,22900,18891
Italy,2008,IT2008,40 to 44 years,23183,18636
Italy,2008,IT2008,45 to 49 years,24536,20137
Italy,2008,IT2008,50 to 54 years,21765,24242
Italy,2008,IT2008,55 to 59 years,20448,24588
Italy,2008,IT2008,60 to 64 years,16129,23422
Italy,2008,IT2008,65 to 69 years,16022,21854
Italy,2008,IT2008,70 to 74 years,14269,18517
Italy,2008,IT2008,75 to 79 years,14078,16648
Italy,2008,IT2008,80 years and over,13632,16488
Italy,2010,IT2010,14 and Under,0,0
Italy,2010,IT2010,15 to 19 years,0,0
Italy,2010,IT2010,20 to 24 years,0,11518
Italy,2010,IT2010,25 to 29 years,20799,15841
Italy,2010,IT2010,30 to 34 years,18685,17048
Italy,2010,IT2010,35 to 39 years,22456,17665
Italy,2010,IT2010,40 to 44 years,19427,18369
Italy,2010,IT2010,45 to 49 years,22495,19420
Italy,2010,IT2010,50 to 54 years,20025,21838
Italy,2010,IT2010,55 to 59 years,20970,23527
Italy,2010,IT2010,60 to 64 years,21785,24059
Italy,2010,IT2010,65 to 69 years,16251,20615
Italy,2010,IT2010,70 to 74 years,14571,18848
Italy,2010,IT2010,75 to 79 years,14609,17471
Italy,2010,IT2010,80 years and over,13777,15649
Italy,1986,IT1986,14 and Under,0,0
Italy,1986,IT1986,15 to 19 years,0,0
Italy,1986,IT1986,20 to 24 years,0,11061
Italy,1986,IT1986,25 to 29 years,18586,15270
Italy,1986,IT1986,30 to 34 years,23161,16261
Italy,1986,IT1986,35 to 39 years,21445,16377
Italy,1986,IT1986,40 to 44 years,21445,16432
Italy,1986,IT1986,45 to 49 years,0,16634
Italy,1986,IT1986,50 to 54 years,14869,17004
Italy,1986,IT1986,55 to 59 years,14440,16276
Italy,1986,IT1986,60 to 64 years,11866,14797
Italy,1986,IT1986,65 to 69 years,11866,15270
Italy,1986,IT1986,70 to 74 years,10151,13142
Italy,1986,IT1986,75 to 79 years,8864,11525
Italy,1986,IT1986,80 years and over,9293,11636
Italy,1987,IT1987,14 and Under,0,0
Italy,1987,IT1987,15 to 19 years,0,0
Italy,1987,IT1987,20 to 24 years,0,13432
Italy,1987,IT1987,25 to 29 years,26683,15572
Italy,1987,IT1987,30 to 34 years,17786,16655
Italy,1987,IT1987,35 to 39 years,29063,17334
Italy,1987,IT1987,40 to 44 years,38725,16552
Italy,1987,IT1987,45 to 49 years,0,17522
Italy,1987,IT1987,50 to 54 years,15169,19367
Italy,1987,IT1987,55 to 59 years,9415,18121
Italy,1987,IT1987,60 to 64 years,11669,16570
Italy,1987,IT1987,65 to 69 years,12534,15955
Italy,1987,IT1987,70 to 74 years,11530,14334
Italy,1987,IT1987,75 to 79 years,10385,13331
Italy,1987,IT1987,80 years and over,9228,11635
Italy,1989,IT1989,14 and Under,0,0
Italy,1989,IT1989,15 to 19 years,0,0
Italy,1989,IT1989,20 to 24 years,19562,16941
Italy,1989,IT1989,25 to 29 years,22337,18426
Italy,1989,IT1989,30 to 34 years,23767,18897
Italy,1989,IT1989,35 to 39 years,27501,18470
Italy,1989,IT1989,40 to 44 years,27236,19409
Italy,1989,IT1989,45 to 49 years,23229,21007
Italy,1989,IT1989,50 to 54 years,18109,20748
Italy,1989,IT1989,55 to 59 years,13727,19884
Italy,1989,IT1989,60 to 64 years,13243,18189
Italy,1989,IT1989,65 to 69 years,13903,16682
Italy,1989,IT1989,70 to 74 years,12238,14334
Italy,1989,IT1989,75 to 79 years,10681,14390
Italy,1989,IT1989,80 years and over,10566,13561
Italy,1991,IT1991,14 and Under,0,0
Italy,1991,IT1991,15 to 19 years,0,0
Italy,1991,IT1991,20 to 24 years,0,14970
Italy,1991,IT1991,25 to 29 years,22838,17326
Italy,1991,IT1991,30 to 34 years,27000,18440
Italy,1991,IT1991,35 to 39 years,26563,19392
Italy,1991,IT1991,40 to 44 years,25920,19619
Italy,1991,IT1991,45 to 49 years,25114,20370
Italy,1991,IT1991,50 to 54 years,22472,20929
Italy,1991,IT1991,55 to 59 years,18729,20897
Italy,1991,IT1991,60 to 64 years,14261,19532
Italy,1991,IT1991,65 to 69 years,12636,17384
Italy,1991,IT1991,70 to 74 years,12862,16157
Italy,1991,IT1991,75 to 79 years,11232,17182
Italy,1991,IT1991,80 years and over,10053,16157
Italy,1993,IT1993,14 and Under,0,0
Italy,1993,IT1993,15 to 19 years,0,0
Italy,1993,IT1993,20 to 24 years,0,15838
Italy,1993,IT1993,25 to 29 years,19735,17283
